"ItemName","ValueType","ItemCode","ParentItemCode","IsActive","ItemName_en-US","ItemName_zh-Hans"
"C15150307 - 棕油加工车间","custom","C15150307","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150308 - 造粒车间","custom","C15150308","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15150400 - 委外加工","custom","C15150400","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150501 - 计划统计科","custom","C15150501","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150502 - 仓储物流科","custom","C15150502","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150503 - 制面搬运","custom","C15150503","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150505 - 冰品搬运","custom","C15150505","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150601 - 品保部","custom","C15150601","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150701 - 动力科","custom","C15150701","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15150801 - 环安卫 EHS","custom","C15150801","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15159801 - 公共制造费用","custom","C15159801","珠海市华丰食品工业（集团）有限公司东阿分公司","True","",""
"C15160000 - 其他","custom","C15160000","珠海市华丰食品工业（集团）有限公司东阿分公司","False","",""
"C15010200 - 研发部","custom","C15010200","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15010300 - 人事部","custom","C15010300","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15010800 - 财务部","custom","C15010800","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15011000 - 采购部","custom","C15011000","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15011100 - 内控部","custom","C15011100","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15011200 - 内审部","custom","C15011200","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15011800 - 金棕榈","custom","C15011800","珠海市华丰食品工业（集团）有限公司兴化分公司","False","",""
"C15011900 - 生产中心","custom","C15011900","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15011901 - EHS","custom","C15011901","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15019900 - 公共管理费用","custom","C15019900","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15029000 - 销售费用","custom","C15029000","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050000 - 厂长办公室","custom","C15050000","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050101 - 行政","custom","C15050101","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050102 - 车队司机","custom","C15050102","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050103 - 食堂","custom","C15050103","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050104 - 门卫","custom","C15050104","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050201 - 制造部公共","custom","C15050201","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050202 - 制面科","custom","C15050202","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
"C15050203 - 冰品科","custom","C15050203","珠海市华丰食品工业（集团）有限公司兴化分公司","True","",""
